"subject","version","assignmentId","rating","question_ind","trial_ind","focal_high","alt_high","rt","stamp","id"
"A1wxpolds1y9r4","caus_thomas_all_v1","3ZAK8W07I4FNDLLTKHX18JE36Z4U02","2","0","0","9","3","2153","2017-09-14 14:19:48","3227"
"A1wxpolds1y9r4","caus_thomas_all_v1","3ZAK8W07I4FNDLLTKHX18JE36Z4U02","5","1","1","6","7","2057","2017-09-14 14:19:51","3228"
"A1wxpolds1y9r4","caus_thomas_all_v1","3ZAK8W07I4FNDLLTKHX18JE36Z4U02","3","2","2","1","8","1930","2017-09-14 14:19:54","3229"
"A1wxpolds1y9r4","caus_thomas_all_v1","3ZAK8W07I4FNDLLTKHX18JE36Z4U02","6","3","3","4","4","1561","2017-09-14 14:19:57","3230"
"A1wxpolds1y9r4","caus_thomas_all_v1","3ZAK8W07I4FNDLLTKHX18JE36Z4U02","1","4","4","5","6","1721","2017-09-14 14:19:59","3231"
"A1FQE3NEOHSKOX","caus_thomas_all_v1","3H7XDTSHKCSXGTLJTJ15BZMGYW4WG6","2","0","0","2","4","34208","2017-09-14 14:20:15","3232"
"A2ZV96GRXVSXK4","caus_thomas_all_v1","386CSBG1OZNQZ30R5XTD7JR5GHL6QB","4","0","0","5","9","19088","2017-09-14 14:20:17","3233"
"A2ZV96GRXVSXK4","caus_thomas_all_v1","386CSBG1OZNQZ30R5XTD7JR5GHL6QB","0","1","1","8","1","8345","2017-09-14 14:20:26","3234"
"A3Q3YVQONIKZPY","caus_thomas_all_v1","3LOTDFNYA70R2TPOIZVNTEM4XH4WF7","8","0","0","4","4","34892","2017-09-14 14:20:27","3235"
"AQ4PZ6W8NIDH3","caus_thomas_all_v1","3KGTPGBS6XMU9VO7Z41FR77I3XOU2M","8","0","0","1","5","42605","2017-09-14 14:20:27","3236"
"A1FQE3NEOHSKOX","caus_thomas_all_v1","3H7XDTSHKCSXGTLJTJ15BZMGYW4WG6","1","1","1","1","9","11810","2017-09-14 14:20:27","3237"
"A28WSBB0DSV47X","caus_thomas_all_v1","3V5Q80FXIXSAA1BOKK5E4YHIQK523N","6","0","0","1","10","9218","2017-09-14 14:20:30","3238"
"A1NZ8CY1G3KUX9","caus_thomas_all_v1","308Q0PEVB8E00OE6QWRGIRRLF8C9IM","1","0","0","3","8","36540","2017-09-14 14:20:33","3239"
"AFZKP8TAXAUCR","caus_thomas_all_v1","3U84XHCDICELY8X495JB1EJVPTZZ4C","2","0","0","9","6","42642","2017-09-14 14:20:34","3240"
"A2ZV96GRXVSXK4","caus_thomas_all_v1","386CSBG1OZNQZ30R5XTD7JR5GHL6QB","8","2","2","10","7","7502","2017-09-14 14:20:35","3241"
"A28WSBB0DSV47X","caus_thomas_all_v1","3V5Q80FXIXSAA1BOKK5E4YHIQK523N","5","1","1","4","6","3033","2017-09-14 14:20:35","3242"
"A1FQE3NEOHSKOX","caus_thomas_all_v1","3H7XDTSHKCSXGTLJTJ15BZMGYW4WG6","3","2","2","5","8","7450","2017-09-14 14:20:36","3243"
"A1JFQYGO8M6EWX","caus_thomas_all_v1","31T4R4OBOSH5924DJPXATS2K7D4C7B","4","0","0","10","10","54760","2017-09-14 14:20:37","3244"
"A28WSBB0DSV47X","caus_thomas_all_v1","3V5Q80FXIXSAA1BOKK5E4YHIQK523N","5","2","2","2","1","4115","2017-09-14 14:20:39","3245"
"A24DSECWUBZC0Z","caus_thomas_all_v1","3ERET4BTVMAR6J4UQZCSV76Y7C19KX","4","0","0","4","4","42880","2017-09-14 14:20:39","3246"
"A2ZV96GRXVSXK4","caus_thomas_all_v1","386CSBG1OZNQZ30R5XTD7JR5GHL6QB","3","3","3","4","2","3558","2017-09-14 14:20:39","3247"
"A1FQE3NEOHSKOX","caus_thomas_all_v1","3H7XDTSHKCSXGTLJTJ15BZMGYW4WG6","2","3","3","4","3","5589","2017-09-14 14:20:43","3248"
"A1NZ8CY1G3KUX9","caus_thomas_all_v1","308Q0PEVB8E00OE6QWRGIRRLF8C9IM","1","1","1","9","7","9305","2017-09-14 14:20:44","3249"
"A2ZV96GRXVSXK4","caus_thomas_all_v1","386CSBG1OZNQZ30R5XTD7JR5GHL6QB","6","4","4","9","5","3792","2017-09-14 14:20:44","3250"
"AQ4PZ6W8NIDH3","caus_thomas_all_v1","3KGTPGBS6XMU9VO7Z41FR77I3XOU2M","8","1","1","2","7","16772","2017-09-14 14:20:44","3251"
"AFZKP8TAXAUCR","caus_thomas_all_v1","3U84XHCDICELY8X495JB1EJVPTZZ4C","4","1","1","8","2","9584","2017-09-14 14:20:45","3252"
"A28WSBB0DSV47X","caus_thomas_all_v1","3V5Q80FXIXSAA1BOKK5E4YHIQK523N","6","3","3","3","2","4387","2017-09-14 14:20:45","3253"
"A28WSBB0DSV47X","caus_thomas_all_v1","3V5Q80FXIXSAA1BOKK5E4YHIQK523N","7","4","4","9","3","4810","2017-09-14 14:20:50","3254"
"A1NZ8CY1G3KUX9","caus_thomas_all_v1","308Q0PEVB8E00OE6QWRGIRRLF8C9IM","1","2","2","10","6","6457","2017-09-14 14:20:51","3255"
"A1A3B77BG6NV8Y","caus_thomas_all_v1","34BBWHLWHACBCKREJ718WBZWD9WWIY","0","0","0","1","4","36245","2017-09-14 14:20:51","3256"
"A1MADOUB1BA0A5","caus_thomas_all_v1","3LKC68YZ3A4L862HH2EDG8VIPIVWOT","0","0","0","2","9","26562","2017-09-14 14:20:53","3257"
"AEXF5EUX32U0M","caus_thomas_all_v1","3VHP9MDGRNLIOVJJ18VMHKF151NCFF","8","0","0","8","10","24115","2017-09-14 14:20:55","3258"
"A1FQE3NEOHSKOX","caus_thomas_all_v1","3H7XDTSHKCSXGTLJTJ15BZMGYW4WG6","2","4","4","7","1","12239","2017-09-14 14:20:56","3259"
"A9O273N0X06JS","caus_thomas_all_v1","3Q8GYXHFEP3QMYQUVWIDV8OOG79C5W","0","0","0","1","1","43366","2017-09-14 14:20:57","3260"
"A24DSECWUBZC0Z","caus_thomas_all_v1","3ERET4BTVMAR6J4UQZCSV76Y7C19KX","6","1","1","1","7","18251","2017-09-14 14:20:58","3261"
"A2H6RIWM50KWA4","caus_thomas_all_v1","3SEPORI8WN000XDLI6T2EH5VH3VZAN","0","0","0","5","7","39725","2017-09-14 14:20:58","3262"
"AFZKP8TAXAUCR","caus_thomas_all_v1","3U84XHCDICELY8X495JB1EJVPTZZ4C","0","2","2","3","1","12896","2017-09-14 14:20:59","3263"
"A3Q3YVQONIKZPY","caus_thomas_all_v1","3LOTDFNYA70R2TPOIZVNTEM4XH4WF7","8","1","1","2","3","33290","2017-09-14 14:21:01","3264"
"A1NZ8CY1G3KUX9","caus_thomas_all_v1","308Q0PEVB8E00OE6QWRGIRRLF8C9IM","3","3","3","2","10","10152","2017-09-14 14:21:02","3265"
"AFZKP8TAXAUCR","caus_thomas_all_v1","3U84XHCDICELY8X495JB1EJVPTZZ4C","0","3","3","5","4","3508","2017-09-14 14:21:03","3266"
"A1A3B77BG6NV8Y","caus_thomas_all_v1","34BBWHLWHACBCKREJ718WBZWD9WWIY","0","1","1","9","5","11484","2017-09-14 14:21:04","3267"
"A1MADOUB1BA0A5","caus_thomas_all_v1","3LKC68YZ3A4L862HH2EDG8VIPIVWOT","0","1","1","1","6","10558","2017-09-14 14:21:04","3268"
"AEXF5EUX32U0M","caus_thomas_all_v1","3VHP9MDGRNLIOVJJ18VMHKF151NCFF","6","1","1","4","8","8495","2017-09-14 14:21:05","3269"
"A1JFQYGO8M6EWX","caus_thomas_all_v1","31T4R4OBOSH5924DJPXATS2K7D4C7B","5","1","1","7","9","28786","2017-09-14 14:21:07","3270"
"AFZKP8TAXAUCR","caus_thomas_all_v1","3U84XHCDICELY8X495JB1EJVPTZZ4C","0","4","4","4","10","4570","2017-09-14 14:21:09","3271"
"A7ARLVESOUAOL","caus_thomas_all_v1","3TXWC2NHNZRPU2H2V8LUMTX8O6E9SE","2","0","0","9","7","14279","2017-09-14 14:21:09","3272"
"A1NZ8CY1G3KUX9","caus_thomas_all_v1","308Q0PEVB8E00OE6QWRGIRRLF8C9IM","2","4","4","7","9","6552","2017-09-14 14:21:10","3273"
"A24DSECWUBZC0Z","caus_thomas_all_v1","3ERET4BTVMAR6J4UQZCSV76Y7C19KX","8","2","2","5","10","10872","2017-09-14 14:21:10","3274"
"A1A3B77BG6NV8Y","caus_thomas_all_v1","34BBWHLWHACBCKREJ718WBZWD9WWIY","0","2","2","4","2","6708","2017-09-14 14:21:12","3275"
"A1NSWJKFJIZ06J","caus_thomas_all_v1","3D4CH1LGEAUM4X8B08RDXFE50VK9GU","3","0","0","5","4","22126","2017-09-14 14:21:12","3276"
"A3ACR8IG31Q7K6","caus_thomas_all_v1","3QUO65DNQUP8G2DCM2ZCYKAL42KUOS","4","0","0","8","9","22849","2017-09-14 14:21:14","3277"
"A12CEB35YXRM8X","caus_thomas_all_v1","3YGXWBAF70I8QFMUHRZ3QGIAGBE4CJ","0","0","0","9","5","20693","2017-09-14 14:21:14","3278"
"AEXF5EUX32U0M","caus_thomas_all_v1","3VHP9MDGRNLIOVJJ18VMHKF151NCFF","3","2","2","9","7","9057","2017-09-14 14:21:15","3279"
"A1MADOUB1BA0A5","caus_thomas_all_v1","3LKC68YZ3A4L862HH2EDG8VIPIVWOT","8","2","2","5","10","10763","2017-09-14 14:21:16","3280"
"A1JCKICNOC7DAB
","caus_thomas_all_v1","3483FV8BEEK97KY63M3CB1T20B726T","0","0","0","9","4","42160","2017-09-14 14:21:17","3281"
"A1JFQYGO8M6EWX","caus_thomas_all_v1","31T4R4OBOSH5924DJPXATS2K7D4C7B","3","2","2","5","4","9843","2017-09-14 14:21:17","3282"
"A7ARLVESOUAOL","caus_thomas_all_v1","3TXWC2NHNZRPU2H2V8LUMTX8O6E9SE","6","1","1","3","8","8276","2017-09-14 14:21:18","3283"
"A1A3B77BG6NV8Y","caus_thomas_all_v1","34BBWHLWHACBCKREJ718WBZWD9WWIY","0","3","3","10","1","7204","2017-09-14 14:21:20","3284"
"AEXF5EUX32U0M","caus_thomas_all_v1","3VHP9MDGRNLIOVJJ18VMHKF151NCFF","2","3","3","5","6","5060","2017-09-14 14:21:21","3285"
"A9O273N0X06JS","caus_thomas_all_v1","3Q8GYXHFEP3QMYQUVWIDV8OOG79C5W","1","1","1","7","9","23089","2017-09-14 14:21:21","3286"
"A1MADOUB1BA0A5","caus_thomas_all_v1","3LKC68YZ3A4L862HH2EDG8VIPIVWOT","0","3","3","8","7","5168","2017-09-14 14:21:22","3287"
"A3ACR8IG31Q7K6","caus_thomas_all_v1","3QUO65DNQUP8G2DCM2ZCYKAL42KUOS","6","1","1","2","5","8486","2017-09-14 14:21:23","3288"
"A2H6RIWM50KWA4","caus_thomas_all_v1","3SEPORI8WN000XDLI6T2EH5VH3VZAN","0","1","1","1","3","24107","2017-09-14 14:21:23","3289"
"A12CEB35YXRM8X","caus_thomas_all_v1","3YGXWBAF70I8QFMUHRZ3QGIAGBE4CJ","0","1","1","8","6","9957","2017-09-14 14:21:25","3290"
"A7ARLVESOUAOL","caus_thomas_all_v1","3TXWC2NHNZRPU2H2V8LUMTX8O6E9SE","0","2","2","10","9","7137","2017-09-14 14:21:27","3291"
"A7ULVYZ4JGW8L","caus_thomas_all_v1","30IQTZXKAK7FUPFOPM8OSQD70HLX0X","2","0","0","1","9","36825","2017-09-14 14:21:27","3292"
"AU8YVB738G6C","caus_thomas_all_v1","3IUZPWIU1O82IFH2JAMK9RE95DLWK9","0","0","0","7","2","68311","2017-09-14 14:21:27","3293"
"A1NSWJKFJIZ06J","caus_thomas_all_v1","3D4CH1LGEAUM4X8B08RDXFE50VK9GU","5","1","1","2","3","15979","2017-09-14 14:21:29","3294"
"A1MADOUB1BA0A5","caus_thomas_all_v1","3LKC68YZ3A4L862HH2EDG8VIPIVWOT","0","4","4","10","1","6046","2017-09-14 14:21:29","3295"
"A24DSECWUBZC0Z","caus_thomas_all_v1","3ERET4BTVMAR6J4UQZCSV76Y7C19KX","1","3","3","9","2","18430","2017-09-14 14:21:30","3296"
"A1A3B77BG6NV8Y","caus_thomas_all_v1","34BBWHLWHACBCKREJ718WBZWD9WWIY","0","4","4","6","7","8824","2017-09-14 14:21:30","3297"
"AEXF5EUX32U0M","caus_thomas_all_v1","3VHP9MDGRNLIOVJJ18VMHKF151NCFF","4","4","4","3","5","8092","2017-09-14 14:21:30","3298"
"A3ACR8IG31Q7K6","caus_thomas_all_v1","3QUO65DNQUP8G2DCM2ZCYKAL42KUOS","4","2","2","6","7","6808","2017-09-14 14:21:31","3299"
"A3HTLXAPOBCVVO","caus_thomas_all_v1","3WYP994K17SZ85RDW7A7K5U7FQ26YE","0","0","0","10","4","35327","2017-09-14 14:21:32","3300"
"A12CEB35YXRM8X","caus_thomas_all_v1","3YGXWBAF70I8QFMUHRZ3QGIAGBE4CJ","4","2","2","3","3","7911","2017-09-14 14:21:34","3301"
"A7ARLVESOUAOL","caus_thomas_all_v1","3TXWC2NHNZRPU2H2V8LUMTX8O6E9SE","2","3","3","8","5","7173","2017-09-14 14:21:35","3302"
"A1JFQYGO8M6EWX","caus_thomas_all_v1","31T4R4OBOSH5924DJPXATS2K7D4C7B","5","3","3","4","6","16460","2017-09-14 14:21:35","3303"
"A9O273N0X06JS","caus_thomas_all_v1","3Q8GYXHFEP3QMYQUVWIDV8OOG79C5W","0","2","2","2","3","12978","2017-09-14 14:21:35","3304"
"A24DSECWUBZC0Z","caus_thomas_all_v1","3ERET4BTVMAR6J4UQZCSV76Y7C19KX","0","4","4","10","8","5917","2017-09-14 14:21:37","3305"
"A3ACR8IG31Q7K6","caus_thomas_all_v1","3QUO65DNQUP8G2DCM2ZCYKAL42KUOS","2","3","3","9","4","7063","2017-09-14 14:21:39","3306"
"A12CEB35YXRM8X","caus_thomas_all_v1","3YGXWBAF70I8QFMUHRZ3QGIAGBE4CJ","3","3","3","4","2","3944","2017-09-14 14:21:39","3307"
"A1NSWJKFJIZ06J","caus_thomas_all_v1","3D4CH1LGEAUM4X8B08RDXFE50VK9GU","3","2","2","10","9","10727","2017-09-14 14:21:41","3308"
"A7ARLVESOUAOL","caus_thomas_all_v1","3TXWC2NHNZRPU2H2V8LUMTX8O6E9SE","4","4","4","1","1","6868","2017-09-14 14:21:43","3309"
"A1JFQYGO8M6EWX","caus_thomas_all_v1","31T4R4OBOSH5924DJPXATS2K7D4C7B","2","4","4","8","8","7668","2017-09-14 14:21:44","3310"
"A3ACR8IG31Q7K6","caus_thomas_all_v1","3QUO65DNQUP8G2DCM2ZCYKAL42KUOS","4","4","4","7","3","4157","2017-09-14 14:21:44","3311"
"A1JCKICNOC7DAB
","caus_thomas_all_v1","3483FV8BEEK97KY63M3CB1T20B726T","2","1","1","3","6","26353","2017-09-14 14:21:44","3312"
"A7ULVYZ4JGW8L","caus_thomas_all_v1","30IQTZXKAK7FUPFOPM8OSQD70HLX0X","1","1","1","8","1","17107","2017-09-14 14:21:45","3313"
"AQ4PZ6W8NIDH3","caus_thomas_all_v1","3KGTPGBS6XMU9VO7Z41FR77I3XOU2M","8","2","2","9","1","60363","2017-09-14 14:21:46","3314"
"A12CEB35YXRM8X","caus_thomas_all_v1","3YGXWBAF70I8QFMUHRZ3QGIAGBE4CJ","7","4","4","1","4","6970","2017-09-14 14:21:47","3315"
"A1NSWJKFJIZ06J","caus_thomas_all_v1","3D4CH1LGEAUM4X8B08RDXFE50VK9GU","3","3","3","7","7","9387","2017-09-14 14:21:51","3316"
"A9O273N0X06JS","caus_thomas_all_v1","3Q8GYXHFEP3QMYQUVWIDV8OOG79C5W","0","3","3","3","4","15156","2017-09-14 14:21:51","3317"
"AMA18W8F60Y2J","caus_thomas_all_v1","3PWWM24LHSZWBYHUW10AVFPT66X28F","5","0","0","5","5","38027","2017-09-14 14:21:57","3318"
"A7ULVYZ4JGW8L","caus_thomas_all_v1","30IQTZXKAK7FUPFOPM8OSQD70HLX0X","8","2","2","2","10","11325","2017-09-14 14:21:57","3319"
"A3HTLXAPOBCVVO","caus_thomas_all_v1","3WYP994K17SZ85RDW7A7K5U7FQ26YE","4","1","1","2","2","25026","2017-09-14 14:21:58","3320"
"A1NSWJKFJIZ06J","caus_thomas_all_v1","3D4CH1LGEAUM4X8B08RDXFE50VK9GU","6","4","4","4","5","7585","2017-09-14 14:22:00","3321"
