"subject","version","assignmentId","rating","question_ind","trial_ind","focal_high","alt_high","rt","stamp","id"
"A1SIUJEL2LS8UO","caus_thomas_as_v2","3C44YUNSI1Q4K0ERF7M2DKBNS7FDPC","8","2","0","1","1","29378","2017-09-14 13:03:35","1636"
"A1J8A9WI6QYTVJ","caus_thomas_as_v2","3SPJ0334214BW06KGQ4WT9ZC1WFYJ5","4","1","0","0","0","3082","2017-09-14 13:03:42","1637"
"A1J8A9WI6QYTVJ","caus_thomas_as_v2","3SPJ0334214BW06KGQ4WT9ZC1WFYJ5","4","2","1","1","1","1518","2017-09-14 13:03:45","1638"
"A1J8A9WI6QYTVJ","caus_thomas_as_v2","3SPJ0334214BW06KGQ4WT9ZC1WFYJ5","5","3","2","0","1","1799","2017-09-14 13:03:48","1639"
"A142ZRU284W9O","caus_thomas_as_v2","3HRMW88U16R40DGKBF6FH9X9TDVM0W","6","1","0","0","0","17962","2017-09-14 13:03:48","1640"
"A1J8A9WI6QYTVJ","caus_thomas_as_v2","3SPJ0334214BW06KGQ4WT9ZC1WFYJ5","5","0","3","1","0","1889","2017-09-14 13:03:50","1641"
"AQY83XO3E149M","caus_thomas_as_v2","3SBEHTYCWN4F1PMEY8JWH8KCOHQYIT","5","0","0","1","0","27031","2017-09-14 13:03:51","1642"
"A142ZRU284W9O","caus_thomas_as_v2","3HRMW88U16R40DGKBF6FH9X9TDVM0W","6","3","1","0","1","6384","2017-09-14 13:03:55","1643"
"A23H7XNZHF8JQY","caus_thomas_as_v2","33SA9F9TRXVZWFPSNOBHBW14LGJWEJ","1","3","0","0","1","35339","2017-09-14 13:03:57","1644"
"A1SIUJEL2LS8UO","caus_thomas_as_v2","3C44YUNSI1Q4K0ERF7M2DKBNS7FDPC","1","0","1","1","0","22487","2017-09-14 13:03:59","1645"
"A142ZRU284W9O","caus_thomas_as_v2","3HRMW88U16R40DGKBF6FH9X9TDVM0W","6","0","2","1","0","4430","2017-09-14 13:04:01","1646"
"AQY83XO3E149M","caus_thomas_as_v2","3SBEHTYCWN4F1PMEY8JWH8KCOHQYIT","6","1","1","0","0","10203","2017-09-14 13:04:03","1647"
"A23H7XNZHF8JQY","caus_thomas_as_v2","33SA9F9TRXVZWFPSNOBHBW14LGJWEJ","2","2","1","1","1","10599","2017-09-14 13:04:08","1648"
"A1SIUJEL2LS8UO","caus_thomas_as_v2","3C44YUNSI1Q4K0ERF7M2DKBNS7FDPC","6","3","2","0","1","11411","2017-09-14 13:04:11","1649"
"A2WWCLNBO1B1KZ","caus_thomas_as_v2","39O5D9O87TTN8J3QHDUKGBQ42BC3CR","6","2","0","1","1","61142","2017-09-14 13:04:13","1650"
"A3ANNQ73J8M158","caus_thomas_as_v2","3ZGVPD4G6TI5FTCUO6KJ9MVN5SATZW","4","1","0","0","0","10682","2017-09-14 13:04:13","1651"
"A23H7XNZHF8JQY","caus_thomas_as_v2","33SA9F9TRXVZWFPSNOBHBW14LGJWEJ","1","1","2","0","0","4796","2017-09-14 13:04:14","1652"
"ADGE1P244LWYU","caus_thomas_as_v2","39OWYR0EPKSVRYKOX0DBEB7K8PYYF2","5","1","0","0","0","35013","2017-09-14 13:04:14","1653"
"A3GOI327COFGY5","caus_thomas_as_v2","3S96KQ6I9M52CS7YWOVMIUCKHA0DTH","8","2","0","1","1","25310","2017-09-14 13:04:16","1654"
"A142ZRU284W9O","caus_thomas_as_v2","3HRMW88U16R40DGKBF6FH9X9TDVM0W","6","2","3","1","1","15654","2017-09-14 13:04:18","1655"
"A23H7XNZHF8JQY","caus_thomas_as_v2","33SA9F9TRXVZWFPSNOBHBW14LGJWEJ","3","0","3","1","0","2702","2017-09-14 13:04:18","1656"
"AQY83XO3E149M","caus_thomas_as_v2","3SBEHTYCWN4F1PMEY8JWH8KCOHQYIT","3","2","2","1","1","14816","2017-09-14 13:04:18","1657"
"A1SIUJEL2LS8UO","caus_thomas_as_v2","3C44YUNSI1Q4K0ERF7M2DKBNS7FDPC","6","1","3","0","0","6486","2017-09-14 13:04:19","1658"
"A1BPBUD67XIJXM","caus_thomas_as_v2","3XC1O3LBOSNLA4VQ95TA17KPQJ2TLD","7","0","0","1","0","54737","2017-09-14 13:04:20","1659"
"AQY83XO3E149M","caus_thomas_as_v2","3SBEHTYCWN4F1PMEY8JWH8KCOHQYIT","6","3","3","0","1","8989","2017-09-14 13:04:28","1660"
