"subject","version","assignmentId","rating","question_ind","trial_ind","focal_high","alt_high","alt2_high","greenSecond","rt","stamp","id"
"A39ROW50DWRRKT","caus_thomas_boxes_v1","30LSNF239UWP04T75NC184J7DMZ2IS","6","0","0","0","0","0",,"12765","2017-10-03 18:23:38","21192"
"A1LOD3LNX7FUPJ","caus_thomas_boxes_v1","30BUDKLTXDW5JWA8RNO8LWOR53J5EN","5","0","0","0","1","0",,"2558","2017-10-03 18:23:39","21193"
"A05977571SZ38O16ESGP8","caus_thomas_boxes_v1","3LOZAJ85YDEMQZI249C2BE6M1Z2X2M","5","0","0","1","1","1",,"11218","2017-10-03 18:23:48","21194"
"A1DBPM1UHEP4MU","caus_thomas_boxes_v1","3PZDLQMM0TMYN177DDGFX1LC0HF2CQ","8","0","0","0","1","1",,"16701","2017-10-03 18:23:54","21195"
"AMPMTF5IAAMK8","caus_thomas_boxes_v1","3P59JYT76LLF9I9IZZB5MBLGO3ET2Z","8","0","0","0","0","1",,"11401","2017-10-03 18:24:04","21196"
"A13UMY3NL33676","caus_thomas_boxes_v1","30IQTZXKAK7FUPFOPM8OSQD741IX02","6","0","0","1","1","1",,"22938","2017-10-03 18:24:07","21197"
"A2HOUSKURBF8UA","caus_thomas_boxes_v1","3FTYUGLFSUM0RQW8VSDOFE665RI5DU","4","0","0","0","0","1",,"19326","2017-10-03 18:24:17","21198"
"YALE_2017","caus_thomas_boxes_v1","3UOUJI6MTDFVABR4NTM8HX1EKQMUX2","0","0","0","1","1","0",,"20804","2017-10-03 18:24:32","21199"
"A1NKBXOTZAI1YK","caus_thomas_boxes_v1","3FPRZHYEPY8J7S9Q8UPP63ETR2UV3S","5","0","0","0","0","1",,"19163","2017-10-03 18:25:06","21200"
"A0657006AJFWB5ZA91B2","caus_thomas_boxes_v1","340UGXU9DY236MM9NELQTC4T4FEUVZ","4","0","0","0","0","0",,"29577","2017-10-03 18:25:21","21201"
"A9O273N0X06JS","caus_thomas_boxes_v1","36PW28KO4ZX2P2MPMJFPT74DXHKAEY","1","0","0","1","0","1",,"35648","2017-10-03 18:25:48","21202"
"A2AAG78CGKX2U5","caus_thomas_boxes_v1","33PPUNGG386SZEZ2KHFO97U5LRGZR0","6","0","0","0","1","1",,"3347","2017-10-03 18:26:26","21203"
"A2LFT9N17HS9FX","caus_thomas_boxes_v1","3YMTUJH0DSHPCWO53DUTFQIE8HAT4V","6","0","0","1","0","0",,"3726","2017-10-03 18:27:28","21204"
"AADDOP3FHMAV1","caus_thomas_boxes_v1","3IOEN3P9S7K2IZGAKI3Y6IJXCPQ61L","2","0","0","0","1","1",,"3392","2017-10-03 18:27:54","21205"
"A1YGENVE7OI5JL","caus_thomas_boxes_v1","3JBT3HLQF837N1JN7PBZ4CUQK9SPZY","4","0","0","0","0","1",,"33486","2017-10-03 18:28:13","21206"
"A1L92Y6VBTRFP5","caus_thomas_boxes_v1","3FE7TXL1LIO2H2HQIVHAH6AT4WFQ2I","8","0","0","0","1","1",,"19540","2017-10-03 18:28:58","21207"
"A2WCDQDLMC6J72","caus_thomas_boxes_v1","3QHK8ZVMIMJLEI199J2P1DE3OW6LBR","0","0","0","1","1","1",,"27336","2017-10-03 18:30:18","21208"
"A1T79J0XQXDDGC","caus_thomas_boxes_v1","3C6FJU71TQUKAGHESP8A0B8NMWHYUD","4","0","0","1","1","1",,"18115","2017-10-03 18:38:37","21209"
"A2IQ0QCTQ3WLT","caus_thomas_boxes_v1","3EQHHY4HQST33A6ZXIEWLZ93IJZ5G5","4","0","0","0","0","0",,"20052","2017-10-03 18:40:18","21210"
"A3FAH5S2RGZ5AK","caus_thomas_boxes_v1","3JW0YLFXRTHTDFBJ8O5NX284W4RWWA","5","0","0","1","1","0",,"5193","2017-10-03 18:42:38","21211"
"A35SC4D5YNJGOW","caus_thomas_boxes_v1","3TGOYF991XN3T7X9IOBLXQ2AQ85UUA","0","0","0","1","1","0",,"28086","2017-10-03 18:54:37","21212"
"A2WU2OBJC98WQP","caus_thomas_boxes_v1","3Q8GYXHFEP3QMYQUVWIDV8OOKR65CU","3","0","0","1","0","0",,"25921","2017-10-03 18:55:06","21213"
"A2LF84L3K71GR2","caus_thomas_boxes_v1","3W92K5RLWUIML7WUMDDIL0CD5YLV5I","2","0","0","0","0","0",,"20941","2017-10-03 18:58:37","21214"
"asda","caus_thomas_boxes_v1",,"8","0","0","1","0","0",,"7216","2017-10-03 19:09:15","21215"
"A1U6A617Q95MTZ","caus_thomas_boxes_v1","3QECW5O0KH278FS5HID3KIOS8D5T50","0","0","0","0","0","0",,"13638","2017-10-03 19:10:27","21216"
"A4J4GGMKJ68L0","caus_thomas_boxes_v1","3PEIJLRY6TU82FG9IT19ZLMB56XWX3","0","0","0","0","1","0",,"32192","2017-10-03 19:11:56","21217"
