"subject","version","assignmentId","guess1","guess2","guess3","cc1","cc2","cc3","experienced","instructions_time","total_time","stamp","id"
"A2UO3QJZNC2VOE","caus_thomas_fire_v4","3AAJC4I4FGTB1QGPCC6F7G8ECRJJZO","0","0","0","Yes","No","No","No","0","0","2017-10-11 15:49:11","2333"
"A1EBVJWBNNPUFU","caus_thomas_fire_v4","3ERMJ6L4DYTIIOG4WEROWO7W6S1M73","0","0","0","Yes","No","Yes","No","0","0","2017-10-11 15:49:24","2334"
"A1B3B409V58ACB","caus_thomas_fire_v4","3OJSZ2ATDSXKAHVY4FA2FMWAKXB75Y","0","0","0","Yes","No","Yes","No","0","0","2017-10-11 15:49:30","2335"
"A2R794P3E8X0MK","caus_thomas_fire_v4","37UEWGM5HT9V4IEUC66WHDAT9T0R1Z","0","0","0","Yes","No","Yes","No","0","0","2017-10-11 15:49:43","2336"
"A35DS4T8H1MWYD","caus_thomas_fire_v4","3Z4GS9HPNVBZXL9HS8PZD6A6B3677D","0","0","0","Yes","No","Yes","No","0","0","2017-10-11 15:49:53","2337"
"A32QBXDPHHSTOD","caus_thomas_fire_v4","33F859I566EJSMIJIYNR9LLW8WTHBB","0","0","0","Yes","No","No","No","0","0","2017-10-11 15:49:57","2338"
"AY52II1OC5RZ1","caus_thomas_fire_v4","31N2WW6R9RRUBVN08FKLOHB74P3F3K","0","0","0","Yes","No","Yes","No","0","0","2017-10-11 15:49:58","2339"
"A31Q4HFUPE2DXG","caus_thomas_fire_v4","32VNZTT0A75CWHBDZOPYFBHWLDA4RP","0","0","0","Yes","Yes","No","No","0","0","2017-10-11 15:50:01","2340"
"A2Z2OV7QGU10QN","caus_thomas_fire_v4","337RC3OW0530NWZFE0TP2P8AS5ILVS","0","0","0","Yes","No","Yes","No","0","0","2017-10-11 15:50:06","2341"
"A3IADAHNMIS0AM","caus_thomas_fire_v4","39KFRKBFINWPXBXHW3W115GY5RPOYL","0","0","0","Yes","No","No","No","0","0","2017-10-11 15:50:06","2342"
"A159MC0L7J302O","caus_thomas_fire_v4","3VFJCI1K4Z0S8X4XUPRZO0EZBIJRGZ","0","0","0","Yes","No","Yes","No","0","0","2017-10-11 15:50:07","2343"
"AAJ9TP0YJ9OQ3","caus_thomas_fire_v4","36TFCYNS44BQ5PLKNUF9YICORZHHXK","0","0","0","Yes","No","No","No","0","0","2017-10-11 15:50:11","2344"
"A1LB9JOMFQ1UMG","caus_thomas_fire_v4","3IHR8NYAM72RK4VYMWL9AGHHKVM4PX","0","0","0","Yes","No","No","Not sure","0","0","2017-10-11 15:50:13","2345"
"A273DS7TQWR9M1","caus_thomas_fire_v4","33SA9F9TRXVZWFPSNOBHBW14QHJEW8","0","0","0","Yes","No","No","No","0","0","2017-10-11 15:50:13","2346"
"ARB80JPV0HQ5O","caus_thomas_fire_v4","3A7Y0R2P2OPMWVGABUIUAVS34RLJXR","0","0","0","Yes","No","Yes","No","0","0","2017-10-11 15:50:20","2347"
"A2VQ1WGHLLLNJ1","caus_thomas_fire_v4","3EO896NRAWWFFE7Q6KHXLS7XRVXJT8","0","0","0","Yes","No","No","No","0","0","2017-10-11 15:50:30","2348"
"A3UCP8QT39UC3","caus_thomas_fire_v4","3KGTPGBS6XMU9VO7Z41FR77I8YIU2N","0","0","0","No","Yes","Yes","No","0","0","2017-10-11 15:50:31","2349"
"A36Z98CBRZQ2AA","caus_thomas_fire_v4","3BXQMRHWKZZKGZS09MKZ6GLGE3ZUME","0","0","0","Yes","No","Yes","No","0","0","2017-10-11 15:50:40","2350"
"A1IP7MXZ9M7KOF","caus_thomas_fire_v4","3WMINLGALB4NS42BQS9U3J4ADM3AC0","0","0","0","Yes","No","Yes","No","0","0","2017-10-11 15:50:41","2351"
"A299CU7U9QX3E7","caus_thomas_fire_v4","3AAPLD8UCCIJO8C0IKEC9FRIE3THT1","0","0","0","Yes","No","No","No","0","0","2017-10-11 15:50:48","2352"
"AMKEGABQMZYIK","caus_thomas_fire_v4","3NL0RFNU0FOQ9DYI94G1EZVIQLGK4C","0","0","0","Yes","No","No","Yes","0","0","2017-10-11 15:50:51","2353"
"A21UA6O7ZFAIQJ","caus_thomas_fire_v4","31T4R4OBOSH5924DJPXATS2KCEXC7B","0","0","0","Yes","No","No","No","0","0","2017-10-11 15:50:53","2354"
"A1IWJS2NY2FAE","caus_thomas_fire_v4","33LKR6A5KEL8KXRMGVBRHSBBXEX1TM","0","0","0","Yes","No","Yes","No","0","0","2017-10-11 15:50:56","2355"
