"subject","version","assignmentId","trial_ind","ex_ind","question_ind","response","correct","cond","rt","stamp","id"
"A21KXWKFWGBCZ3","caus_thomas_fire_v5","3M23Y66PO282CJF4X1II2J66443S6N","0","7","0","Yes","1","0","5226","2017-10-16 16:07:28","4183"
"A21KXWKFWGBCZ3","caus_thomas_fire_v5","3M23Y66PO282CJF4X1II2J66443S6N","1","8","0","Yes","1","0","6102","2017-10-16 16:07:35","4184"
"A21KXWKFWGBCZ3","caus_thomas_fire_v5","3M23Y66PO282CJF4X1II2J66443S6N","2","2","0","No","1","0","4443","2017-10-16 16:07:40","4185"
"A21KXWKFWGBCZ3","caus_thomas_fire_v5","3M23Y66PO282CJF4X1II2J66443S6N","3","9","0","Yes","1","0","3256","2017-10-16 16:07:45","4186"
"A21KXWKFWGBCZ3","caus_thomas_fire_v5","3M23Y66PO282CJF4X1II2J66443S6N","4","3","0","Yes","1","0","4345","2017-10-16 16:07:50","4187"
"A1ZDR2UN7M92LI
","caus_thomas_fire_v5","39GAF6DQWR1NXPVBLQB6IAZWVXHV1X","0","2","0","No","1","1","4763","2017-10-16 16:07:52","4188"
"A21KXWKFWGBCZ3","caus_thomas_fire_v5","3M23Y66PO282CJF4X1II2J66443S6N","5","0","0","Yes","1","0","2047","2017-10-16 16:07:53","4189"
"A1ZDR2UN7M92LI
","caus_thomas_fire_v5","39GAF6DQWR1NXPVBLQB6IAZWVXHV1X","1","5","0","No","1","1","2471","2017-10-16 16:07:55","4190"
"A21KXWKFWGBCZ3","caus_thomas_fire_v5","3M23Y66PO282CJF4X1II2J66443S6N","6","4","0","Yes","1","0","1730","2017-10-16 16:07:56","4191"
"A1ZDR2UN7M92LI
","caus_thomas_fire_v5","39GAF6DQWR1NXPVBLQB6IAZWVXHV1X","2","7","0","No","1","1","1615","2017-10-16 16:07:58","4192"
"A21KXWKFWGBCZ3","caus_thomas_fire_v5","3M23Y66PO282CJF4X1II2J66443S6N","7","6","0","Yes","1","0","1811","2017-10-16 16:07:59","4193"
"A1ZDR2UN7M92LI
","caus_thomas_fire_v5","39GAF6DQWR1NXPVBLQB6IAZWVXHV1X","3","9","0","No","1","1","1611","2017-10-16 16:08:00","4194"
"A21KXWKFWGBCZ3","caus_thomas_fire_v5","3M23Y66PO282CJF4X1II2J66443S6N","8","5","0","Yes","1","0","1800","2017-10-16 16:08:01","4195"
"A38ECJNH8AQKV4
","caus_thomas_fire_v5","3PQMUDRV7R7TBP79UQXTVKQO4XWIIF","0","5","0","No","1","0","8180","2017-10-16 16:08:02","4196"
