"subject","version","assignmentId","guess1","guess2","guess3","cc1","cc2","cc3","cc4","cc1pass","cc2pass","cc3pass","cc4pass","experienced","instructions_time","total_time","stamp","id"
"A1RXG8RE0SJ4LC","caus_thomas_fire_v6","35BLDD71I6YKSLGJT1KYA4J88MTVZ5","0","0","0","50%","100%","90%","Math","1","1","1","1","No","35265","57928","2017-10-17 13:57:35","3551"
"A3UNUH7D8FKJ3L","caus_thomas_fire_v6","3BEFOD78W6ULZ1YLUGTHTCNMGYEM43","0","0","0","25%","100%","90%","English","0","1","1","1","No","39439","68049","2017-10-17 13:57:42","3552"
"A33921T4I2XIRS","caus_thomas_fire_v6","34S9DKFK73Q7FQX5VOWOMGGTGPNNYP","0","0","0","50%","100%","90%","English","1","1","1","1","No","51836","84674","2017-10-17 13:57:47","3553"
"A2FI2VTA8JVYS6","caus_thomas_fire_v6","3NS0A6KXC491AOQO46LCA3GYL75GZ1","0","0","0","50%","100%","90%","English","1","1","1","1","No","37590","88583","2017-10-17 13:57:48","3554"
"A33QX0QXEX943S","caus_thomas_fire_v6","358010RM5EUVNQG4SJWDDJ3X0MVVX8","0","0","0","50%","100%","10%","Math","1","1","1","1","No","59870","91858","2017-10-17 13:57:53","3555"
"A1U6SQML59J1LX","caus_thomas_fire_v6","35GCEFQ6I5P0GCE09RESR9RPH213ZH","0","0","0","50%","100%","90%","English","1","1","1","1","Yes","30365","55403","2017-10-17 13:57:57","3556"
"A2PDDOU75JXTN7","caus_thomas_fire_v6","3M68NM076H8QB4FRICIDC91AICJR6H","0","0","0","50%","100%","10%","English","1","1","1","1","Yes","53513","84221","2017-10-17 13:58:05","3557"
"AMI7O28BUU547","caus_thomas_fire_v6","3W2LOLRXLBGXAJ0GKGCEMS6SJ73RKM","0","0","0","50%","100%","10%","English","1","1","1","0","No","47363","80808","2017-10-17 13:58:13","3558"
"AUDADS1HJVX6V","caus_thomas_fire_v6","3L0KT67Y8EH4V3PA3KDALAQZ3OVYSC","0","0","0","50%","100%","10%","English","1","1","1","1","No","64446","101667","2017-10-17 13:58:14","3559"
"A4MNEMGPU0KAD","caus_thomas_fire_v6","3VD82FOHKQPCU8WC0BEC4EOF3BAOCX","0","0","0","50%","100%","90%","English","1","1","1","1","No","49088","97124","2017-10-17 13:58:16","3560"
"A33FSJRW7E1XVV","caus_thomas_fire_v6","3GFK2QRXX9IZ0WWZCNIE72VREWNW59","0","0","0","75%","100%","90%","Math","0","1","1","1","No","45538","90903","2017-10-17 13:58:18","3561"
"A25R2OI9L2Q1OW","caus_thomas_fire_v6","3EO896NRAWWFFE7Q6KHXLS7XS30JTS","0","0","0","50%","100%","90%","Math","1","1","1","1","No","53873","114364","2017-10-17 13:58:19","3562"
