"subject","version","assignmentId","rating","question_ind","trial_ind","focal_high","alt_high","rt","stamp","id"
"A1HN4550TIXQBZ","caus_thomas_ss_v1","3WLEIWSYHOIP49INZ5UG8SIS9BBH25","8","2","0","0","0","13585","2017-09-12 21:46:49","9"
"A1HN4550TIXQBZ","caus_thomas_ss_v1","3WLEIWSYHOIP49INZ5UG8SIS9BBH25","8","1","1","1","1","5554","2017-09-12 21:46:56","10"
"A1HN4550TIXQBZ","caus_thomas_ss_v1","3WLEIWSYHOIP49INZ5UG8SIS9BBH25","8","3","2","0","1","4307","2017-09-12 21:47:01","11"
"A1HN4550TIXQBZ","caus_thomas_ss_v1","3WLEIWSYHOIP49INZ5UG8SIS9BBH25","8","0","3","1","0","3766","2017-09-12 21:47:06","12"
"A2LF84L3K71GR2","caus_thomas_ss_v1","3RRCEFRB7MDPGAUO3R38FWCSYC24B8","4","3","0","0","1","45595","2017-09-12 21:47:41","13"
"A18SXC3JEN1O0U","caus_thomas_ss_v1","3HMVI3QICJT41JQGQ1YQP93Q71A1Y7","1","1","0","1","1","76743","2017-09-12 21:48:09","14"
"A2LF84L3K71GR2","caus_thomas_ss_v1","3RRCEFRB7MDPGAUO3R38FWCSYC24B8","4","1","1","1","1","27939","2017-09-12 21:48:10","15"
"A2LF84L3K71GR2","caus_thomas_ss_v1","3RRCEFRB7MDPGAUO3R38FWCSYC24B8","4","0","2","1","0","11957","2017-09-12 21:48:23","16"
"ADUZ6RO42OM0T","caus_thomas_ss_v1","3Z4GS9HPNVBZXL9HS8PZD6A66O1779","8","2","0","0","0","44355","2017-09-12 21:48:26","17"
"A2LF84L3K71GR2","caus_thomas_ss_v1","3RRCEFRB7MDPGAUO3R38FWCSYC24B8","4","2","3","0","0","17745","2017-09-12 21:48:42","18"
"ADUZ6RO42OM0T","caus_thomas_ss_v1","3Z4GS9HPNVBZXL9HS8PZD6A66O1779","8","0","1","1","0","24118","2017-09-12 21:48:51","19"
"A18SXC3JEN1O0U","caus_thomas_ss_v1","3HMVI3QICJT41JQGQ1YQP93Q71A1Y7","1","0","1","1","0","42972","2017-09-12 21:48:53","20"
"AMDX0UNZS4A1G","caus_thomas_ss_v1","3PDJHANYK5HDMA1OM76JY5Z4PGDH6M","7","1","0","1","1","46997","2017-09-12 21:48:59","21"
